testcase_id,Step,parent,testobject,stepaction,data,TestGroups,options
VerifyGalleryCaption_Outfit1A_250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NoPhotogallery,
,Verify Gallery previous button,OutFitPage,VerifyGalleryPrev,verifyObjectPresent,,,
,Verify Gallery previous Next button,OutFitPage,VerifyGalleryNext,verifyObjectPresent,,,
,Verify Show Caption affordance present on page.,OutFitPage,Caption_1,verifytextpresent,CAPTION,,
,Click Show Caption,OutFitPage,Caption_1,clickObject,,,
,Check Caption Present,OutFitPage,VerifyCaptionText,verifyObjectPresent,,,
VerifyHeaderBar__Outfit1A_250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NoPhotogallery,
,Verify Header Bar above section.,OutFitPage,HeaderBar,verifyObjectPresent,,,
VerifyPrevNavigationArrowDisabled__Outfit1A_250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NoPhotogallery,
,Verify whether the Previous Navigation Arrow is disabled,OutFitPage,VerifyGalleryPrev,verifyobjectproperty,data-state#carousel_hidden,,
VerifyOutFit01A250_103,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NotAutomated,
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I Navigate to the next item in Gallery,OutFitPage,VerifyGalleryNext,clickObject,,,
,And I verify whether Backplate is displayed,OutFitPage,VerifyImageChangeNext_Image2,verifyObjectPresent,alt# MonoChrom Image Test3,,
,And I navigate to last item in Gallery,OutFitPage,VerifyGalleryNext,clickTillLastImage,,,
,And I verify whether right arrow is disabled,OutFitPage,VerifyGalleryNext,verifyobjectproperty,data-state#carousel_hidden,,
VerifyOutFit01A250_104,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NotAutomated,
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I Click on Show caption,OutFitPage,Caption_1,clickObject,,,
,And I Navigate to the next item in Gallery,OutFitPage,VerifyGalleryNext,clickObject,,,
,And I verify Hide caption is present,OutFitPage,Caption_2,verifyObjectPresent,,,
,And I click on Previous item in Gallery,OutFitPage,VerifyGalleryPrev,clickObject,,,
,And I verify Hide caption is Present ,OutFitPage,Caption_1,verifyObjectPresent,,,
VerifyOutFit01A250_105,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NoPhotogallery,
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I Click on Show caption,OutFitPage,Caption_1,clickObject,,,
,And I Navigate to the next item in Gallery,OutFitPage,VerifyGalleryNext,clickObject,,,
,And I verify affordance,OutFitPage,VerifyImageChangeNext_Image2,verifyObjectPresent,alt# MonoChrom Image Test3,,
,And I click on the Hide Caption,OutFitPage,Caption_2,clickObject,,,
VerifyOutFit01A250_106,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NoPhotogallery,
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I Click on Show caption,OutFitPage,Caption_1,clickObject,,,
,And I Navigate to the next item in Gallery,OutFitPage,VerifyGalleryNext,clickObject,,,
,And I verify affordance,OutFitPage,VerifyImageChangeNext_Image2,verifyObjectPresent,alt# MonoChrom Image Test3,,
,And I Navigate to previous item in Gallery,OutFitPage,VerifyGalleryPrev,clickObject,,,
,And I verify affordance,OutFitPage,VerifyImageChangePrev_Image1,verifyObjectPresent,alt# MonoChrom Image Test3,,
VerifyOutFit01A250_107,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NoPhotogallery,
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I Click on Show caption,OutFitPage,Caption_1,clickObject,,,
,And I verify the caption text,OutFitPage,VerifyCaptionText,verifyObjectPresent,,,
VerifyOutFit01A250_108,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NoPhotogallery,
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I Click on Show caption,OutFitPage,Caption_1,clickObject,,,
,And I verify for Hide caption text ,OutFitPage,Caption_1,verifytextpresent,CAPTION,,
VerifyOutFit01A250_109,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NotAutomated,
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I Click on Show caption,OutFitPage,Caption_1Text,verifytextpresnt,CAPTION,,
VerifyOutFit01A250_47_1_SHOW_HIDE_ALL,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,NotAutomated,
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Check Show Caption affordance present on page.,OutFitPage,Caption_1,verifyObjectPresent,,,
,Click Show Caption,OutFitPage,Caption_1,clickObject,,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_47_1_SH,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_47_1_SH,,
,Verify Gallery Next button,OutFitPage,VerifyGalleryNext,verifyObjectPresent,,,
,Click Next Button on Gallery Slide,OutFitPage,VerifyGalleryNext,clickObject,,,
,Verify Image Change,OutFitPage,VerifyImageChangeNext_Image2,verifyobjectproperty,alt# MonoChrom Image Test3,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_47_2_SH,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_47_2_SH,,
,Click Previous Button on Gallery Slide,OutFitPage,VerifyGalleryPrev,clickObject,,,
,Verify Image Change,OutFitPage,VerifyImageChangePrev_Image1,verifyobjectproperty,alt# MonoChrom Image Test3,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_47_3_SH,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_47_3_SH,,
,Click Hide Caption,OutFitPage,Caption_1,clickObject,,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_47_4_SH,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_47_4_SH,,
,Verify Gallery Next button,OutFitPage,VerifyGalleryNext,verifyObjectPresent,,,
,Click Next Button on Gallery Slide,OutFitPage,VerifyGalleryNext,clickObject,,,
,Verify Image Change,OutFitPage,VerifyImageChangeNext_Image2,verifyobjectproperty,alt# MonoChrom Image Test3,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_47_5_SH,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_47_5_SH,,
,Click Previous Button on Gallery Slide,OutFitPage,VerifyGalleryPrev,clickObject,,,
,Verify Image Change,OutFitPage,VerifyImageChangePrev_Image1,verifyobjectproperty,alt# MonoChrom Image Test3,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_47_6_SH,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_47_6_SH,,
Verify_PhotoGallaryText_on_Hover_OutFit01A_250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/47/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,Verify Photo Gallery present on page,OutFitPage,LeadArtImage,verifyObjectPresent,,,
,Verify text on hovering,OutFitPage,LeadArtImage,verifyObjectPresent,title# Fire fighter,,
VerifyOutFit01A250_48,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/48,"OutfitsSafari, Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_48,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_48,,
VerifyOutFit01A250_49,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/49/,"OutfitsSafari, Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_49,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_49,,
VerifyOutFit01A250_50,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/50/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_50,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_50,,
VerifyOutFit01A250_51,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/51/,"OutfitsSafari, Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_51,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_51,,
VerifyOutFit01A250_52,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/52/,"OutfitsSafari, Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_52,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_52,,
VerifyOutFit01A250_53,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/53/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_53,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_53,,
VerifyOutFit01A250_54,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/54/,"OutfitsSafari, Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_54,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_54,,
VerifyOutFit01A250_55,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/55/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_55,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_55,,
VerifyOutFit01A250_70,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/70/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_70,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_70,,
VerifyOutFit01A250_71,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/71,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_71,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_71,,
VerifyOutFit01A250_72,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/72/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_72,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_72,,
VerifyOutFit01A250_73,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/73/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_73,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_73,,
VerifyOutFit01A250_74,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/74/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_74,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_74,,
VerifyOutFit01A250_77,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/77,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_77,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_77,,
VerifyOutFit01A250_78,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/78,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_78,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_78,,
VerifyOutFit01A250_79,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/79,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_79,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_79,,
VerifyOutFit01A250_80,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/80,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
